15×8 DataFrame
 Row │ parameters  mean        std        mcse        ess_bulk  ess_tail  rhat      ess_per_sec
     │ Symbol      Float64     Float64    Float64     Float64   Float64   Float64   Float64
─────┼──────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           71.2226      7.25603   0.285871     721.061   564.034  1.00682       7.83361
   2 │ σ            7.06175     0.39896   0.00722863  3063.04   2098.02   1.00112      33.2769
   3 │ τₐ           6.72005    10.9022    0.425335    1297.9     797.749  0.999763     14.1004
   4 │ τᵦ[1]        6.10907     5.24407   0.22023      608.857  1364.12   1.00926       6.61464
   5 │ τᵦ[2]        6.29304     5.25258   0.20171      610.982  1465.79   1.01071       6.63771
   6 │ αⱼ[1]       -3.78524     5.155     0.20767      873.0     521.769  1.00277       9.48429
   7 │ αⱼ[2]        3.31357     5.14511   0.206114     871.769   527.809  1.0029        9.47091
   8 │ βⱼ[1, 1]     0.214208    0.859235  0.0239337   1337.06    960.062  1.00261      14.5259
   9 │ βⱼ[2, 1]    -0.8888      1.03728   0.0327832   1004.69   2129.46   1.00859      10.9149
  10 │ βⱼ[3, 1]     0.498546    0.916272  0.0269411   1247.45    975.443  1.00227      13.5523
  11 │ βⱼ[4, 1]     0.0954871   0.802642  0.0195661   1696.01   1729.06   1.00249      18.4254
  12 │ βⱼ[1, 2]     0.253365    0.817865  0.0192358   1838.51   1661.68   1.00063      19.9736
  13 │ βⱼ[2, 2]    -0.965356    1.03366   0.0336682    943.113  1634.08   1.00554      10.246
  14 │ βⱼ[3, 2]     0.617718    0.867409  0.0237719   1352.14   1779.81   1.0031       14.6897
  15 │ βⱼ[4, 2]     0.0537724   0.799216  0.0182839   1878.94   1958.88   1.00286      20.4128
