31×8 DataFrame
 Row │ parameters  mean         std        mcse          ess_bulk  ess_tail  rhat       ess_per_sec
     │ Symbol      Float64      Float64    Float64       Float64   Float64   Float64    Float64
─────┼──────────────────────────────────────────────────────────────────────────────────────────────
   1 │ Ω.L[1, 1]    1.0         0.0        NaN             NaN       NaN     NaN          NaN
   2 │ Ω.L[2, 1]    0.043019    0.310762     0.00712605   1908.57   2191.14    1.00357      1.82805
   3 │ Ω.L[3, 1]   -0.447932    0.252504     0.00611514   1716.11   1871.95    1.00167      1.64371
   4 │ Ω.L[4, 1]    0.311276    0.251551     0.00544381   2191.86   2031.34    1.00163      2.09938
   5 │ Ω.L[5, 1]   -0.130121    0.300833     0.00747663   1655.12   1895.18    1.0042       1.58529
   6 │ Ω.L[2, 2]    0.946784    0.0721216    0.00168086   2136.0    2260.11    1.00088      2.04588
   7 │ Ω.L[3, 2]    0.0103993   0.324486     0.00549168   3443.88   2193.01    1.00079      3.29858
   8 │ Ω.L[4, 2]    0.0289696   0.347878     0.00584211   3504.58   2385.96    1.00166      3.35672
   9 │ Ω.L[5, 2]    0.0234923   0.353593     0.00546177   4173.34   2465.49    1.00179      3.99727
  10 │ Ω.L[3, 3]    0.779914    0.148262     0.00363016   1720.0    2127.05    1.00135      1.64744
  11 │ Ω.L[4, 3]   -0.038386    0.360248     0.0062334    3325.92   2464.1     1.00013      3.1856
  12 │ Ω.L[5, 3]    0.027346    0.357107     0.00595795   3591.1    2854.83    1.00045      3.43959
  13 │ Ω.L[4, 4]    0.750333    0.154285     0.00393134   1651.93   1801.34    1.00125      1.58223
  14 │ Ω.L[5, 4]    0.00593603  0.353856     0.00551605   4067.42   2366.48    1.00188      3.89582
  15 │ Ω.L[5, 5]    0.696039    0.170647     0.0042041    1738.99   1887.47    1.00087      1.66562
  16 │ σ            7.0934      0.411872     0.00679768   3784.97   2358.02    1.00244      3.62528
  17 │ τ[1]         3.77336     0.721893     0.0212219    1152.44   1255.9     1.00292      1.10382
  18 │ τ[2]         0.501157    0.429924     0.0121344    1180.11   1475.51    1.0055       1.13032
  19 │ τ[3]         1.54443     0.619856     0.0175979    1240.61   1622.72    1.00249      1.18827
  20 │ τ[4]         0.778834    0.506274     0.0125979    1352.47   1421.84    1.00115      1.29541
  21 │ τ[5]         0.547377    0.44368      0.0105112    1252.74   1184.24    1.00292      1.19988
  22 │ γ[1, 1]      5.24769     2.12671      0.0609443    1177.39   1259.93    1.0022       1.12772
  23 │ γ[2, 1]     -0.102582    4.6289       0.0806658    3296.01   2856.76    1.00092      3.15695
  24 │ γ[3, 1]     -2.4717      3.25129      0.0696857    2221.19   1960.91    1.00123      2.12748
  25 │ γ[4, 1]      0.749834    4.33102      0.0821245    2812.17   2184.32    1.00102      2.69352
  26 │ γ[5, 1]      0.18609     4.61801      0.0718466    4106.95   2380.79    1.00036      3.93367
  27 │ γ[1, 2]      5.75703     2.3395       0.0640371    1276.39   1260.19    1.00178      1.22254
  28 │ γ[2, 2]      0.412079    4.67198      0.0765409    3727.19   2577.94    1.00027      3.56994
  29 │ γ[3, 2]     -2.72105     3.53957      0.0776478    2204.88   1635.92    1.00138      2.11185
  30 │ γ[4, 2]      1.3467      4.25791      0.0808758    2767.4    2567.02    1.00149      2.65064
  31 │ γ[5, 2]     -0.715615    4.57483      0.0792334    3352.13   2792.04    1.00208      3.2107
