9×8 DataFrame
 Row │ parameters  mean       std      mcse        ess_bulk  ess_tail  rhat      ess_per_sec
     │ Symbol      Float64    Float64  Float64     Float64   Float64   Float64   Float64
─────┼───────────────────────────────────────────────────────────────────────────────────────
   1 │ α            71.0155   5.41905  0.22717      684.94    553.9    1.00513       13.2338
   2 │ β[1]          2.91454  1.35502  0.0266287   2607.99   2335.04   1.00141       50.3891
   3 │ β[2]        -10.6225   1.37004  0.0265623   2663.39   2707.43   1.0003        51.4595
   4 │ β[3]          6.48352  1.32441  0.0269263   2410.17   2513.93   1.00055       46.567
   5 │ β[4]          1.09184  1.31659  0.0257996   2605.5    2620.33   0.999903      50.3411
   6 │ σ             7.40301  0.46809  0.00791462  3589.48   2882.14   1.00082       69.3525
   7 │ τ             6.55142  6.50312  0.214818    1280.14   1124.47   1.00565       24.7336
   8 │ αⱼ[1]        -3.6635   5.32063  0.225864     687.826   503.844  1.00543       13.2895
   9 │ αⱼ[2]         3.40763  5.3437   0.22548      692.4     542.903  1.00498       13.3779
